2019-12-29 00:00:32.408 [http-nio-8080-exec-6] INFO  com.lgq.controller.SiteIconController - FrancisBlog: addSiteIcon -> {"siteIconColor":"","siteIconDescription":"肥肥肥","siteIconName":"QQ","siteIconUrl":"sdasa","siteIconValue":"#icon-QQ"}
2019-12-29 00:05:05.839 [http-nio-8080-exec-6] INFO  com.lgq.controller.SiteIconController - FrancisBlog: getAllSiteIcon
2019-12-29 00:05:23.871 [http-nio-8080-exec-10] INFO  com.lgq.controller.SiteIconController - FrancisBlog: addSiteIcon -> {"siteIconColor":"","siteIconDescription":"肥肥肥","siteIconId":4,"siteIconName":"QQ","siteIconUrl":"www.baidu.com","siteIconValue":"#icon-QQ"}
2019-12-29 00:05:24.100 [http-nio-8080-exec-2] INFO  com.lgq.controller.SiteIconController - FrancisBlog: getAllSiteIcon
2019-12-29 00:05:51.871 [http-nio-8080-exec-8] INFO  com.lgq.controller.SiteController - FrancisBlog: getSiteInfo
2019-12-29 00:05:51.875 [http-nio-8080-exec-8] INFO  com.lgq.service.impl.SiteServiceImpl - DAY_PAGE_VIEW_PREFIX-2019-12-29
2019-12-29 00:05:51.886 [http-nio-8080-exec-5] INFO  com.lgq.controller.SiteIconController - FrancisBlog: getAllSiteIcon
2019-12-29 00:05:51.886 [http-nio-8080-exec-4] INFO  com.lgq.controller.SiteTagController - FrancisBlog: getAllSiteTag
2019-12-29 00:07:36.998 [http-nio-8080-exec-10] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogList:1
2019-12-29 00:07:38.310 [http-nio-8080-exec-2] INFO  com.lgq.controller.TokenController - FrancisBlog: getToken
2019-12-29 00:07:38.318 [http-nio-8080-exec-3] INFO  com.lgq.controller.CategoryController - FrancisBlog: getAllCategory
2019-12-29 00:08:03.501 [http-nio-8080-exec-4] INFO  com.lgq.controller.BlogController - FrancisBlog: addBlog -> {"blogCategoryId":2,"blogContent":"<p>湿哒哒持续性差</p>\n","blogCover":"http://img.francisqiang.top/1577549258","blogTitle":"我是一只小鸟"}
2019-12-29 00:08:05.247 [http-nio-8080-exec-7] INFO  com.lgq.controller.BlogController - FrancisBlog: addBlog -> {"blogCategoryId":2,"blogContent":"<p>湿哒哒持续性差</p>\n","blogCover":"http://img.francisqiang.top/1577549258","blogTitle":"我是一只小鸟"}
2019-12-29 00:09:28.842 [http-nio-8080-exec-9] INFO  com.lgq.controller.SiteController - FrancisBlog: getSiteInfo
2019-12-29 00:09:28.847 [http-nio-8080-exec-9] INFO  com.lgq.service.impl.SiteServiceImpl - DAY_PAGE_VIEW_PREFIX-2019-12-29
2019-12-29 00:09:28.889 [http-nio-8080-exec-1] INFO  com.lgq.controller.SiteIconController - FrancisBlog: getAllSiteIcon
2019-12-29 00:09:28.901 [http-nio-8080-exec-6] INFO  com.lgq.controller.SiteTagController - FrancisBlog: getAllSiteTag
2019-12-29 00:10:06.835 [http-nio-8080-exec-3] INFO  com.lgq.controller.SiteIconController - FrancisBlog: getAllSiteIcon
2019-12-29 00:10:06.835 [http-nio-8080-exec-5] INFO  com.lgq.controller.SiteController - FrancisBlog: getSiteInfo
2019-12-29 00:10:06.835 [http-nio-8080-exec-8] INFO  com.lgq.controller.SiteTagController - FrancisBlog: getAllSiteTag
2019-12-29 00:10:06.845 [http-nio-8080-exec-5] INFO  com.lgq.service.impl.SiteServiceImpl - DAY_PAGE_VIEW_PREFIX-2019-12-29
2019-12-29 00:10:41.478 [main] INFO  com.lgq.FrancisBlogApplication - Starting FrancisBlogApplication on DESKTOP-G6KT9CH with PID 10604 (I:\blog_for_feifeifei\blog-for-feifeifei\target\classes started by lin in I:\blog_for_feifeifei\blog-for-feifeifei)
2019-12-29 00:10:41.488 [main] INFO  com.lgq.FrancisBlogApplication - No active profile set, falling back to default profiles: default
2019-12-29 00:10:43.872 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-12-29 00:10:43.872 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-29 00:10:43.995 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 103ms. Found 0 repository interfaces.
2019-12-29 00:10:44.542 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$362ff34f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-29 00:10:45.110 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-12-29 00:10:45.135 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-12-29 00:10:45.145 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-12-29 00:10:45.145 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
2019-12-29 00:10:45.155 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.17] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.21]
2019-12-29 00:10:45.155 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.17] using APR version [1.6.3].
2019-12-29 00:10:45.155 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019-12-29 00:10:45.155 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-12-29 00:10:46.304 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2o  27 Mar 2018]
2019-12-29 00:10:46.504 [main] INFO  o.a.c.c.C.[.[localhost].[/francisblog/api/v1] - Initializing Spring embedded WebApplicationContext
2019-12-29 00:10:46.504 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4913 ms
2019-12-29 00:10:48.646 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2019-12-29 00:10:48.894 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-12-29 00:10:49.424 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-12-29 00:10:49.454 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-12-29 00:10:49.544 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-12-29 00:10:49.795 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getAllAlbumUsingGET_1
2019-12-29 00:10:50.003 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-12-29 00:10:50.043 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/francisblog/api/v1'
2019-12-29 00:10:50.043 [main] INFO  com.lgq.FrancisBlogApplication - Started FrancisBlogApplication in 9.659 seconds (JVM running for 13.865)
2019-12-29 00:11:25.635 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[localhost].[/francisblog/api/v1] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-12-29 00:11:25.635 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-12-29 00:11:25.651 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 16 ms
2019-12-29 00:11:25.927 [http-nio-8080-exec-1] INFO  com.lgq.controller.BlogController - FrancisBlog: addBlog -> {"blogCategoryId":2,"blogContent":"<p>湿哒哒持续性差</p>\n","blogCover":"http://img.francisqiang.top/1577549258","blogTitle":"我是一只小鸟"}
2019-12-29 00:11:26.072 [http-nio-8080-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-12-29 00:11:26.835 [http-nio-8080-exec-3] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogList:1
2019-12-29 00:11:35.510 [http-nio-8080-exec-2] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogList:2
2019-12-29 00:11:40.730 [http-nio-8080-exec-4] INFO  com.lgq.controller.TokenController - FrancisBlog: getToken
2019-12-29 00:11:40.734 [http-nio-8080-exec-5] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogById: blog_id:6
2019-12-29 00:11:40.746 [http-nio-8080-exec-6] INFO  com.lgq.controller.CategoryController - FrancisBlog: getAllCategory
2019-12-29 00:11:40.960 [http-nio-8080-exec-5] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-12-29 00:11:40.964 [http-nio-8080-exec-5] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-12-29 00:11:45.862 [http-nio-8080-exec-5] INFO  com.lgq.service.impl.BlogServiceImpl - null
2019-12-29 00:11:45.982 [http-nio-8080-exec-5] INFO  com.lgq.service.impl.BlogServiceImpl - 1
2019-12-29 00:15:44.081 [main] INFO  com.lgq.FrancisBlogApplication - Starting FrancisBlogApplication on DESKTOP-G6KT9CH with PID 7888 (I:\blog_for_feifeifei\blog-for-feifeifei\target\classes started by lin in I:\blog_for_feifeifei\blog-for-feifeifei)
2019-12-29 00:15:44.090 [main] INFO  com.lgq.FrancisBlogApplication - No active profile set, falling back to default profiles: default
2019-12-29 00:15:46.282 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-12-29 00:15:46.282 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-29 00:15:46.412 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 100ms. Found 0 repository interfaces.
2019-12-29 00:15:46.993 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$f08f81ee] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-29 00:15:47.583 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-12-29 00:15:47.613 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-12-29 00:15:47.633 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-12-29 00:15:47.633 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
2019-12-29 00:15:47.643 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.17] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.21]
2019-12-29 00:15:47.643 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.17] using APR version [1.6.3].
2019-12-29 00:15:47.643 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019-12-29 00:15:47.643 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-12-29 00:15:48.811 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2o  27 Mar 2018]
2019-12-29 00:15:49.021 [main] INFO  o.a.c.c.C.[.[localhost].[/francisblog/api/v1] - Initializing Spring embedded WebApplicationContext
2019-12-29 00:15:49.031 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4818 ms
2019-12-29 00:15:52.156 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2019-12-29 00:15:52.435 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-12-29 00:15:53.234 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-12-29 00:15:53.334 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-12-29 00:15:53.450 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-12-29 00:15:53.772 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getAllAlbumUsingGET_1
2019-12-29 00:15:54.043 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-12-29 00:15:54.083 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/francisblog/api/v1'
2019-12-29 00:15:54.093 [main] INFO  com.lgq.FrancisBlogApplication - Started FrancisBlogApplication in 11.19 seconds (JVM running for 15.071)
2019-12-29 00:17:56.964 [http-nio-8080-exec-10] INFO  o.a.c.c.C.[.[localhost].[/francisblog/api/v1] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-12-29 00:17:56.964 [http-nio-8080-exec-10] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-12-29 00:17:56.984 [http-nio-8080-exec-10] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 16 ms
2019-12-29 00:17:57.044 [http-nio-8080-exec-9] INFO  com.lgq.controller.TokenController - FrancisBlog: getToken
2019-12-29 00:17:57.044 [http-nio-8080-exec-8] INFO  com.lgq.controller.CategoryController - FrancisBlog: getAllCategory
2019-12-29 00:17:57.060 [http-nio-8080-exec-10] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogById: blog_id:6
2019-12-29 00:17:57.152 [http-nio-8080-exec-10] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-12-29 00:17:57.580 [http-nio-8080-exec-10] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-12-29 00:17:57.580 [http-nio-8080-exec-10] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-12-29 00:17:58.373 [http-nio-8080-exec-7] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogList:1
2019-12-29 00:18:02.800 [http-nio-8080-exec-10] INFO  com.lgq.service.impl.BlogServiceImpl - null
2019-12-29 00:18:03.120 [http-nio-8080-exec-10] INFO  com.lgq.service.impl.BlogServiceImpl - 2
2019-12-29 00:18:05.443 [http-nio-8080-exec-5] INFO  com.lgq.controller.TokenController - FrancisBlog: getToken
2019-12-29 00:18:05.447 [http-nio-8080-exec-4] INFO  com.lgq.controller.CategoryController - FrancisBlog: getAllCategory
2019-12-29 00:18:05.447 [http-nio-8080-exec-6] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogById: blog_id:1
2019-12-29 00:18:05.459 [http-nio-8080-exec-6] INFO  com.lgq.service.impl.BlogServiceImpl - 1577549882804
2019-12-29 00:18:05.463 [http-nio-8080-exec-6] INFO  com.lgq.service.impl.BlogServiceImpl - 62
